track_id,artists,album_name,track_name,popularity,duration_ms,explicit,key,loudness,mode,tempo,time_signature,track_genre
4rUhsiEpM45gQvk7HdvcAY,Dj Promo,Hope,Banking,20,109017,False,5,-7.891,1,179.986,4,happy
0489C8AQ7sbk4hnXW1mOEO,Sore Throat,Unhindered By Talent,War Is Horrendous,17,83213,False,9,-6.058,1,90.709,4,grindcore
1PnYlRz7y97T26egDekfgx,Mats Rådberg;Rankarna,Det är inte lätt att va' ödmjuk,Det verkar kärlek (Sounds Like Love),35,168306,False,7,-10.801,1,131.093,4,swedish
4G1rzFZNDcReeg9BOpNimT,David Gilmour,On An Island,Smile,46,243266,False,0,-16.376,1,93.577,3,blues
1OyhpS1bKbzmW5CpUxWal3,Schyzo,V. Patro,Bacha,39,146933,True,6,-9.64,0,167.906,4,emo
5ENfkWyYcdGbAPdx0voB3O,Hysteric Panic,ノイジー・マイノリティー,シンデレラ・シンドローム,24,231240,False,2,-3.885,1,160.992,4,j-idol
0T9jRinymApqjMFoVzw4jo,Generdyn;BELLSAINT,On The Rise,On The Rise,50,172911,False,2,-5.032,1,99.039,3,blues
4cK2BWcZKU8w0lF3g5lAEU,Solomun;Boys Noize,"Nobody Is Not Loved, Remixes, Pt. 4",Home (Boys Noize Remix),11,377612,False,2,-6.93,1,127.995,4,minimal-techno
1KqF8lTWSsKd4C5yINTGaH,Ewa Konstancja Bułhak,Bambukalambu,"Ryby, żaby, raki",23,192960,False,5,-10.461,0,81.568,4,disney
2ayGHwGSw6y3Nvcmvy5MG5,Cassiane,Com Muito Louvor,Basta Uma Palavra,40,215063,False,9,-7.133,0,130.933,4,gospel
2sVSu1ZanAAlmmxtOBrfk8,Patricio Rey y sus Redonditos de Ricota,Gulp!,Roto y Mal Parado,40,275760,False,1,-10.485,0,119.9,4,punk
1fhDmmuIYvJLL2wwT0POgo,Rata Blanca,La Llave De La Puerta Secreta,"Michell, Odia La Oscuridad",32,278706,False,1,-1.299,0,170.168,4,heavy-metal
2nrTdNY8gwRSSKxsnO0RwA,Robert Babicz,ASW is Live EP1,Magic Club Nights,0,589537,False,6,-9.053,1,125.016,4,minimal-techno
1FW8rQFo6m3BZsyqxmXVHM,Bass Modulators,Defqon.1 2016,Oxygen - Orchestral Mix,20,190135,False,10,-3.011,0,145.793,4,hardstyle
29l7g91zkDpCduVW3dxcUV,Keyakizaka46,真っ白なものは汚したくなる (Complete Edition),100年待てば,26,262533,False,7,-4.234,1,126.968,4,j-idol
2LQvFDHnUiT3D612LHntIN,huglord,12 Weeks,12 Weeks,49,160941,False,11,-10.995,1,84.986,4,study
6Kp7mh71LJi1By4yyh92uH,Surgeon,Breaking the Frame,Those Who Do Not,6,471334,False,10,-14.289,1,130.032,4,detroit-techno
6sBPGTOC25BMmS0SMzJGMr,Roman Messer;Roxanne Emery,Dream,Lost & Found,49,191136,False,3,-3.408,1,132.065,4,trance
6X6Ow0iioCrYQSK1QDHQbC,Age Of Love;Charlotte de Witte;Enrico Sangiuliano,The Age Of Love (Charlotte de Witte & Enrico Sangiuliano Remix),The Age Of Love - Charlotte de Witte & Enrico Sangiuliano Remix,64,489480,False,5,-8.322,0,130.0,4,trance
64IW9B6v46KqKD3DadcQ7g,GReeeeN,イカロス,イカロス,35,190360,False,0,-3.391,1,159.932,4,j-pop
454UCF9pZF68npiKK9lAks,Wolfgang Amadeus Mozart;London Symphony Orchestra;Peter Maag,Mozart - All Day Classics,"6 German Dances, K. 509: No. 3 in E-Flat Major",12,75120,False,10,-12.976,1,108.813,4,classical
4HkipUaRTXwhDqstRFz9oB,Yuvan Shankar Raja,Oye,Povodhe Prema,52,274933,False,1,-7.01,0,140.018,4,k-pop
6dnDqXvIdqcBQw2uNNUfYn,Kreisligahelden,Après Ski Fussball Party 2022 - Wir feiern auf den Hütten,Kreisligahelden sind wir,0,205013,False,9,-3.036,1,139.994,4,party
17YtmWpKGWBMXeMZtPY8sl,E-girls,"Easy come, Easy go","Easy come, Easy go",23,167300,False,4,-4.371,0,85.02,4,j-idol
0nzcviyIUbfv08Edgrv5yA,Bobby Day,"Les idoles américaines du rhythm and blues : Bobby Day, Vol. 1",Darlin' If I Had You,24,121678,False,5,-11.992,1,200.565,3,rockabilly
1I9nM5iODLiAaDdXhPJG99,Protiva;Schyzo,Chupito Mixtape,Moc Napíču Den,34,198478,True,11,-8.458,0,158.051,4,emo
43368zd7iBhYvS721LOYDE,Caê,A Nave de Odé,Incompletos,21,232800,False,3,-8.159,1,120.073,4,afrobeat
6Vs53ujCYKgv2OHfFU0FrU,Skinny Puppy,Rabies,Tin Omen,22,278466,False,11,-13.518,0,125.369,4,industrial
1vyMC8oaEbEfok6mfmBgAl,Elba Ramalho;Alceu Valença,"O Grande Encontro 20 Anos: Alceu, Elba e Geraldo (Ao Vivo)",Flor de Tangerina - Ao Vivo,37,274080,False,11,-8.568,0,110.959,4,samba
45SbQo5bq8f0hNdB70IyFC,Boyce Avenue,Save Your Tears,Save Your Tears,57,216800,False,8,-8.994,0,116.004,4,acoustic
710cSRkvHLHeK7h3s0YrLJ,HammerFall,Infected,Patient Zero,23,361106,False,9,-5.006,0,169.962,4,goth
0Jjc88qUHyyhQap2MrTz2W,Housefires,Housefires,One Thing,23,467089,False,5,-8.238,1,131.472,4,world-music
3gQQT8DcqmyDi7duOxnmN3,PianoDeuss,Again (Your Lie in April Original Soundtrack),Again (Your Lie in April Original Soundtrack),39,170603,False,6,-18.813,1,182.007,3,anime
6dlaRHrKIA1v1jBB7wE4VP,Vou pro Sereno,VPS Novelas EP 2,Linda Demais,44,158249,False,7,-9.087,1,161.631,4,pagode
3vkeiCyvQQQ0G55vOOJgQD,Fäaschtbänkler,Partyplanet,Traumfrau,36,176480,False,2,-5.779,1,119.979,4,party
0ybDYDwTq51aP5pSTtbep1,The Temptations,JULMYS,Silent Night,0,144480,False,0,-11.713,1,89.643,3,funk
6AyWHf259DGuxOnwdsz1Lf,Billy Idol,Bitter Taste,Bitter Taste,24,266759,False,10,-4.543,0,119.003,4,hard-rock
678fEaQRCGgyzE4HtY0hpY,Paul Elstak,May The Forze Be With You: Hardcore Edition,Paul´s Nightmare,20,453021,False,1,-13.186,1,171.837,4,happy
6Hb2DV9hl1ENg6t0zqd8yQ,Lauriete,Palavras,Palavras,38,325466,False,8,-7.072,1,140.048,4,gospel
39feEmxlnMCD6Su1TzeEGg,Mägo de Oz,"Hechizos, pócimas y brujería",No pares - De oir rock & roll,32,351653,False,4,-2.643,0,120.031,4,spanish
7nDIflSHQXzaa8zupxwv3U,Luis Enrique,Ciclos,Yo No Sé Mañana,75,259853,False,4,-3.206,0,95.223,4,salsa
2qgtuOc1eoOnzitqzsYy9v,Wim Mertens,"What Are We, Locks, to Do?",Oxyrhynchus,26,367106,False,2,-13.011,1,111.038,4,ambient
5mblm2qeUbMbsDNsIE5OQi,Cássia Eller,Acústico (Ao Vivo),1º De Julho - Ao Vivo,45,292306,False,7,-5.771,1,170.064,4,brazil
6lbu0pkP2pG8pzaY22Qdxw,Galantis,Upbeat 20's,1x1,0,139435,False,2,-4.2,1,120.028,4,edm
4FWKK5zR3X0tw4Odx7gZs0,Dean Martin,pov: you are walking in a winter wonderland,Rudolph The Red-Nosed Reindeer,0,135760,False,7,-16.79,1,136.47,4,jazz
65FyljpHxd1m1OeIBiUhDL,Power From Hell,Shadows Devouring Light,The Serpent's Earthly Throne,17,323920,True,3,-7.596,1,110.095,4,black-metal
0hI1a7BgvSGVoQkBcPbUjv,Hybrid Minds;Birdy,State Lines,State Lines,57,215172,False,6,-3.637,0,86.949,4,drum-and-bass
002uYDBLOvJz21C4FuArDS,Sigma;Birdy,Find Me (Remixes),Find Me - Sigma VIP Remix,20,252342,False,5,-2.544,0,174.986,4,drum-and-bass
5qF9BtM2Vg6L39Ro2UR8OW,Tatsunoshin,Harder Tunes Forever - 100% the Best in Hardstyle and Hardcore,La La La Lie,0,156000,False,4,-3.639,1,159.859,4,hardstyle
01AKiTk6iF60Kpvitd1Ih1,MC STAN,Astaghfirullah,Astaghfirullah,58,213333,True,0,-8.464,1,125.956,4,hip-hop
0cIBOfHKEvwyiAcwlRmylP,Hellripper,Complete and Total Fucking Mayhem,Blood on the Cross,18,121000,True,10,-6.837,0,185.847,4,black-metal
7vP1ftuN13Tq2j9gVlEm1l,Los Caligaris;Pedro Fernández,Vivir Así Es Morir de Amor,Vivir Así Es Morir de Amor,45,195406,False,11,-6.015,0,109.992,4,alt-rock
3idwcdfG4zo2snHt24OJ0Y,Meth Math,Pompi,Piel De Bebe,20,102645,False,7,-10.581,0,127.995,4,club
4wpGWRJNCrNeoDrPJo9VYb,WowKidz,50 Top Hindi Nursery Rhymes,Ghadi Hai Karthi Tick Tick Tick,19,43699,False,2,-6.811,1,100.016,4,children
75Bk2jHaVd5kR5KDDRsnT8,Franky Style,EXPLÍCITO,RUNAWAY,38,152441,True,6,-6.288,1,96.008,4,latino
5t9WS1mp1WGOqz6lJut8za,Davignon,Dualities,Dualities,64,129306,False,7,-22.522,0,127.897,1,piano
07B2uqy1rZZsGCq3idEKBE,Rend Collective,CHOOSE TO WORSHIP,YOUR NAME IS POWER,52,234826,False,8,-6.234,1,86.023,4,world-music
3uAdZpIbMTtVXitHVibLMV,Andrew Foy;Renee Foy,Let Her Go,Let Her Go,38,194013,False,2,-13.457,1,75.153,4,acoustic
3yolXChZmrQR0T0byHVRvv,Out of Nowhere,Lovely,Lovely,3,245498,False,1,-2.498,0,115.024,4,iranian
4oGJXrQZrDehnZX6NT5MPn,Justin Bieber,Beste Weihnachtslieder,Mistletoe,0,183066,False,6,-7.282,0,161.948,4,pop
6WGQR4SuHTBlsEyKNs5SNl,Timothy Infinite,Soleado,Profundo,5,150329,False,1,-5.673,1,181.961,4,study
1OxaAC72au0z2HORS9yt1m,Lonely in the Rain;Benji Lewis,Tell Me,Tell Me,35,196015,False,9,-10.262,1,119.991,4,french
0dmpwMBncOCLnwrV3TgliU,André De Shields;Hadestown Original Broadway Company;Anaïs Mitchell,"Why We Build the Wall (""Behind closed doors..."") [Outro]","Why We Build the Wall (""Behind closed doors..."") [Outro]",20,57212,False,2,-11.714,0,85.255,3,show-tunes
4esQg7skEqenIr8UETuDHf,Giacomo Puccini;Tom Krause;Pier Francesco Poli;Piero de Palma;London Philharmonic Orchestra;Zubin Mehta,Puccini: Turandot,"Turandot / Act 2: ""Olà, Pang! Olà, Pong!""",23,197466,False,7,-18.528,0,121.165,4,opera
2btbz8nKuheHXb9x0luUPT,Georges Bizet;Angela Gheorghiu;Michel Plasson;Wolff;Orchestre National Du Capitole De Toulouse,Bizet : Carmen,"Carmen, Act II, No.17 Duo (continued...): La-la-la-la / Attends un peu, Carmen (Carmen/Don José)",23,118733,False,5,-22.636,1,115.501,4,opera
7JaemprlK2VmKExVCJso93,SMD,Hardstyle The Ultimate Collection Best Of 2010,All For The Thrill - Edit,20,179750,False,1,-5.211,0,150.005,4,hardstyle
5hVKGw1OXBCEZgRWFUilk7,Sara Farell;Simon Samaeng,#Covers,Still Falling For You - Acoustic,44,252567,False,1,-11.928,1,174.03,4,acoustic
5pZVsZ8TOGly1KnYFmZ61B,Reol,No title-,No title,57,243903,False,1,-5.981,0,199.751,4,anime
68PVEvj88zRbnsmwnWqReA,Szeukers,Alles Is Kut En Dat Bleif 't,Alles Is Kut En Dat Bleif 't,29,162927,True,11,-5.81,0,99.956,4,hardstyle
2Ozc0me9PV5vlt8cokwdvI,Terror Squad;Fat Joe;Remy Ma,True Story,Lean Back,67,247426,True,1,-3.344,1,95.321,4,hardcore
6BuTnrx1AQzAdqBXgXT5QA,Amb,Blood in Blood Out,Still Alive,20,180280,False,10,-5.73,1,156.005,4,breakbeat
6yop2w0gF1HdGGvgUXgMVg,OZZIE;Teflon Sega,Colours,FRZZN,53,239281,False,11,-8.217,0,140.05,4,soul
5OukrdIKKvAbIBrSurnLuy,The Red Pears,Alicia,Flowers,52,128838,False,9,-7.372,1,145.562,4,garage
6j726iGVPshdVnmWOk2bKp,Chelsea Grin,Origin of Sin,Origin of Sin,51,265890,False,1,-5.278,1,130.037,4,death-metal
1xDeDsNoBNyBidVQKPnWXE,Menahan Street Band,Make the Road By Walking,Home Again,52,202240,False,5,-8.097,1,96.848,4,afrobeat
6aanCQUqDjtuu2nwH1lSId,Disclosure,Larga Vida al Electro,When A Fire Starts To Burn,0,283705,False,7,-6.956,1,123.961,4,house
3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Planet Her,Need to Know,84,210560,True,1,-6.509,1,130.041,4,dance
2USfvfEEmJwxKzMilhqh5n,GHASTLY;Madalen Duke,Haunted Haus,Smoke,55,187991,False,10,-10.561,0,121.936,4,dub
3C9mS6yoyMzLbUV67X2zgj,Horcas,Por Tu Honor,Sembrando Venganza,21,239360,False,8,-4.167,1,107.251,4,heavy-metal
3Ea08ZAiu9QOepEYDIc4cl,Roupa Nova,Roupacústico (Ao Vivo),A Força do Amor - Ao Vivo,47,267906,False,4,-8.649,1,77.083,4,mpb
6EzC80O5pl3vPkh4bST7V5,Vince Guaraldi Trio,Best Christmas Playlist Ever 2022,Christmas Time Is Here - Vocal,0,166440,False,9,-19.789,0,75.993,3,jazz
0Hxty2K8F2DrrCXQyQVpBo,Dope,Felons and Revolutionaries,You Spin Me Round (Like A Record),62,163666,False,11,-5.212,1,128.563,4,industrial
711PInM2yoC1kdA6UfApt0,David Bisbal,En Tus Planes,Quien Es,27,206746,False,0,-5.653,1,77.958,3,spanish
77G0k1La0c5Dw8bAFANcyp,Beach Bunny,Sports,Sports,73,164165,False,9,-5.278,1,186.142,4,indie-pop
0UB9JiWD415ZYGbwpOXDTH,Yaşar Güvenir,Gel Desen Gelemem Ki,Gel Desen Gelemem Ki,38,245016,False,6,-14.684,0,82.153,3,turkish
5LM0WmeZXfhxJOl2RPkEFB,Limão Com Mel,Só As Melhores (Ao Vivo),Toma Conta De Mim - Ao Vivo,38,235240,False,2,-3.578,1,93.827,4,forro
0YEgVqBmj14YWgv7w32Qm4,CID,Where I Want 2 B,Where I Want 2 B,59,201908,False,9,-4.547,0,126.017,4,deep-house
3sOTBAXbpYLKoKuREvjIWp,Dan Cummins,Get Outta Here; Devil!,Ku Klux Clown,24,286816,True,0,-13.033,1,87.341,4,comedy
0lWqNkcbYNZpik6AjywkNm,Bethel Music;kalley,Por Siempre (Live),Por Siempre (Live),37,320013,False,2,-5.03,1,138.122,4,ambient
4uZpUDK9SwZmPae7SykUdt,Pinkfong,Car Songs,Police Car,44,73038,False,5,-4.573,1,144.978,4,children
0Q75bkIyDFzLQzI966JE4J,Blind Melon,Soup,The Duke,31,217266,False,6,-9.204,0,126.901,3,grunge
6UEkaSqswLYnWRgVQFkHMs,Vincent;RUNN,Sunburn,Sunburn,43,167741,False,4,-5.385,1,93.046,4,dubstep
1oUmQdyZJGKi8EZKvNrRZQ,Yuvan Shankar Raja;Karthik;Sunitha Sarathy,Awaara (Original Motion Picture Soundtrack),Chuttesai Chuttesai,44,294413,False,1,-9.265,0,119.974,4,k-pop
2HCml99aKlW0dcCPZMOKQX,Nikko Culture;Nezhdan,Let Me,Let Me - Nezhdan Remix,36,428717,False,9,-8.986,0,117.02,4,groove
5CDKYpUBEBuScJricxppcb,DJ Ostkurve;Anny,Sebastian,Sebastian,25,168000,False,0,-4.146,1,139.953,4,party
0bk4vZzYmtZlKOltolZ7Zo,Ultraje a Rigor,2 é Demais,Inútil - Ao vivo,37,217066,False,2,-9.956,1,164.292,4,punk-rock
0mOTIdOUMEhiY9OQ6Rz2Wg,Fabio Brazza,Epopéia da Poeira Cósmica,Pangeia,43,338520,False,4,-6.765,1,148.935,4,brazil
1zcoAyff0T8932q9PgVAyJ,Vybz Kartel,Riddim Driven: Sidewalk University,Beyonce Wine,22,233573,False,9,-15.605,0,120.114,5,j-dance
1toVnIKmSRdUrvJLpPo55e,No/Más,Consume / Deny / Repent,Hypothermia,11,127937,False,7,-3.764,1,124.835,5,grindcore
4noXM2J8hOKnJ78J4dSTdj,Death Grips,The Powers That B,On GP,50,367569,True,0,-3.05,1,132.359,4,industrial
6ObewuQSNkFe4IjKjb4IPy,"Группа ""Загадка""",Золотая коллекция эстрады. Сиреневый туман,Стою на полустаночке,8,156653,False,4,-8.767,0,107.391,4,romance
4rmKHaOjNcqZRb58ng6Htz,Stevie Wonder,The Very Best Christmas Songs 2022,Someday At Christmas,0,169293,False,5,-6.04,1,101.483,4,funk
4LLvxxkWtt818FNO3cbsdo,Diljit Dosanjh;Sukhbir;Dhvani Bhanushali;Dj Chetas;Lijo George,"Sauda Khara Khara (From ""Good Newwz"")",Sauda Khara Khara,63,211034,False,10,-3.28,1,145.037,4,pop-film
4YimYaA3z1KrrnbBmvE6Af,Anya Marina,Over You (Deluxe Edition),How Far Does the Dark Go?,32,245726,False,11,-5.846,0,89.331,4,acoustic
3zcnbGrdyx3iJe7x5WjWc5,Kay Tse,Slowness,載我走,45,246760,False,4,-7.488,1,139.922,4,cantopop
6aPMWbbdhDhiJHlknZb9Yx,Arijit Singh;Sachet-Parampara,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",59,370444,False,9,-4.767,0,172.121,3,pop-film
5g3JMD3nz5UfSu7qHQPBpP,Macaco,Rumbo Submarino,S.O.S,27,229173,False,9,-4.524,1,90.269,4,spanish
5YgSOlHwnhGJx6Mxh63ABH,Keane,"Tear Up This Town (From ""A Monster Calls"" Original Motion Picture Soundtrack)","Tear Up This Town - Orchestral Version / From ""A Monster Calls"" Original Motion Picture Soundtrack",52,187120,False,8,-8.956,1,141.919,4,piano
1mGe9zY9P0Kjj9RKp5MsPA,Maduk;Diamond Eyes,Transformations,Colours,46,273828,False,7,-3.935,0,174.993,4,drum-and-bass
26gpV6aDhhnTa31Qh23hSq,La Rata Bluesera;Federico Dannemann;Gonzalo Araya,Valdivia,Santa Lucía,31,444171,False,5,-13.349,1,123.092,4,blues
6AAF3JyshxVeZ1I2N3e5cN,Underground Resistance,Electronic Warfare 2.0,Bastille Day,6,250080,False,7,-9.462,1,132.028,4,detroit-techno
37tRXGwViDLyJPl1dY3Za5,Justine Clarke,A Little Day out with Justine Clarke,Watermelon,42,156933,False,4,-5.891,1,134.972,4,children
2LsbizbOeNa4x6qsi2jAMb,Jarabe De Palo,La Flaca,La flaca,76,261200,False,7,-9.068,1,103.063,4,spanish
4LIJn3SG7mCCNKQc6vyy5S,G. V. Prakash;Saindhavi,Udhayam NH4 (Original Motion Picture Soundtrack),Yaaro Ivan,56,283906,False,1,-7.88,0,82.008,4,pop-film
366OQlMvzMfSsdxiIJqzR4,Arvingarna,#8,Hon kommer med sommaren,35,229493,False,9,-5.689,0,139.95,4,swedish
0eh54iiUtp2CEbTJieM3Jx,Wilkinson;THABO;René LaVice,Hopelessly Coping (Remixes),Hopelessly Coping - Hanami Remix,17,283249,False,9,-6.018,0,95.003,4,drum-and-bass
1E7qCptwRPfvZrIDyDDgjh,The Doors,L.A. Woman,Been down so Long,53,279866,False,4,-7.941,1,122.618,4,psych-rock
0KLFLf51RleTfm6caSJYF0,Gilberto e Gilmar,Paixão Sertaneja,Assino Com X - Ao Vivo,46,166306,False,11,-2.769,1,167.498,3,sertanejo
4ePKbzLwkIBslceokt2iXZ,The Seige,I Am Defiant,I Am Defiant,60,248880,True,6,-3.649,1,125.044,4,alt-rock
2X6wJzcIqx9Xl24HKZQFCs,Collabro,Stars (Special Edition),Anthem,21,194826,False,2,-7.361,1,89.024,4,opera
1R1vXeXn2ABnDd5SJHOXEF,Nattalia Sarria,Anime Music Collection,"Luz de Luna (From ""Sailor Moon"")",33,171326,False,5,-6.999,0,140.048,4,anime
6WapVQGBAffIfzHzS8i5Gg,Kenneth M. Christensen,Frost 2 (Originalt Dansk Soundtrack/Deluxe Edition),Faret vild,32,180840,False,8,-4.749,1,144.282,4,disney
6DY2S2c3PqkQyfEgUlXoPn,Leviathan,Massive Conspiracy Against All Life,"Merging with Sword, Onto Them",18,658080,True,10,-5.243,1,159.977,4,black-metal
334NVjwI4vESPdvOmVZzbo,Linkin Park,Minutes to Midnight,In Between,43,196746,False,10,-10.424,0,193.948,4,grunge
6Ytf8ASfFtVqDBH5S00Rkr,Şebnem Ferah,Kadın,Fırtına,39,347277,False,9,-6.915,0,144.991,4,turkish
5VCUf3CJuflyaCHf7Fa4mS,Ran-D;D-Sturb;XCEPTION,Dance With The Devil,Dance With The Devil,57,252236,False,8,-3.182,0,155.06,4,hardstyle
1sue5MiV1Uq7KInSM6UGTj,Elvis Presley,How Great Thou Art,In the Garden,51,190786,False,7,-16.931,1,73.104,3,rock-n-roll
5uucjQhsswzAAn4tJpjujn,Bethel Music;Paul McClure;Hannah McClure,Simple,Stand In Awe,49,330422,False,7,-11.753,1,96.731,3,world-music
1suafzwNT5Kv9JHnxiHNz7,Barış Akarsu,Islak Islak,İsterdim,40,219689,False,7,-9.457,0,91.99,4,turkish
7cq2nIdClANqlwH4okuYm3,UM44K;Luan Otten,Melhor pensar,Melhor pensar,48,205345,False,8,-7.119,1,149.935,4,mpb
2lCsTpkit36cAJ0pSEpzr4,Kochetkovv,Sing for Me,Sing for Me,58,130951,False,6,-18.369,0,109.989,4,chill
0fxjsll9jmmRgMFbwdp4Xg,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,Yègellé Tezeta,51,194293,False,3,-13.539,1,125.597,4,afrobeat
3FK7Wzox7rB8PBkZjhnXFm,Witchery,Nightside,Left Hand March,19,268653,False,2,-4.197,0,142.154,4,black-metal
6eF87LNT8JEB1WL7QBSRPN,John Coltrane;Johnny Hartman,Desayuno en calma,Dedicated To You,0,332120,False,8,-17.549,1,61.64,4,jazz
3F4NgQVGxdlszT0YCpk1Md,Guus Dielissen,Let Her Go (Instrumental Guitar),Let Her Go (Instrumental Guitar),35,251381,False,7,-18.038,1,153.735,4,guitar
4A3arwCYdFLHm60pJdpVJB,Surgeon,Patience,"Patience, Pt. 5",5,273712,False,4,-6.914,0,137.651,4,detroit-techno
7mF0Ut2Dydj7s0lsNh4ulo,Dorgival Dantas;Leo Santana,Quanto Custa?,Quanto Custa?,37,261248,False,4,-5.079,1,164.029,4,forro
7fHvI0zoz7nP0dSoiv7ntt,Lisa Nilsson,Himlen runt hörnet,Varje gång jag ser dig,45,227666,False,8,-7.933,1,110.884,4,soul
1HVgOnDJSAnB0kO2pjKbFq,Enigma;Aquilo,The Fall Of A Rebel Angel,Amen,51,293386,False,2,-10.121,0,71.312,3,new-age
3atToDz9gdlMOHgaurZGHx,Simon Wester,Reflections,Reflections,41,183421,False,2,-23.625,1,114.041,4,ambient
1OBj6j2dmbCIgzTNJKsPNo,Vermin Womb,Decline,Industrialist,16,240564,False,10,-5.034,0,111.653,4,grindcore
6JKLSrYx0XR3ayYWggoPNV,Mon A Q,Stay in Love,Stay in Love - Dance Radio Mix,32,294413,False,0,-5.966,1,129.987,4,deep-house
5pMGYjNxev2isV9pm7ATF0,Kerry Butler;Cheyenne Jackson,Xanadu: Original Broadway Cast Recording,Suspended in Time,20,176360,False,4,-6.631,1,108.056,4,show-tunes
28PuptP3GRGgIM1Faz1fzL,DJ Snake;J Balvin;Ozuna;Nicky Jam;Natti Natasha;Darell;Sech,Perreo Tenebroso Vol. 4,Loco Contigo - REMIX,0,341875,False,6,-5.781,0,96.032,4,dance
5LV0oQV98daZAUoWnQEW6N,Escape the Fate,I Am Human,Broken Heart,61,187371,False,2,-4.309,1,95.02,4,metalcore
2yBWKK84uebv35lGajIMhc,Thomas Rhett;Katy Perry,Where We Started,Where We Started,62,182026,False,2,-6.555,1,139.94,4,country
3fAtiRktRktPCwFO6101TI,Anabantha,Llanto de Libertad (Colección de Oro) [Demo Año 2000 Remezclado y Remasterizado],Dèjate Ser - Remasterizado,22,269693,False,9,-3.804,0,106.912,4,goth
